,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit
0,1,45,1,3,3,1,2,0,39,1,3,12691.0
1,1,49,0,5,2,2,4,0,44,1,2,8256.0
2,1,51,1,3,2,1,3,0,36,1,0,3418.0
3,1,40,0,4,3,3,4,0,34,4,1,3313.0
4,1,40,1,3,5,1,2,0,21,1,0,4716.0
5,1,44,1,2,2,1,1,0,36,1,2,4010.0
6,1,51,1,4,6,1,0,1,46,1,3,34516.0
7,1,32,1,0,3,3,2,3,27,2,2,29081.0
8,1,37,1,3,5,2,2,0,36,2,0,22352.0
9,1,48,1,2,2,2,3,0,36,3,3,11656.0
10,1,42,1,5,5,3,0,0,31,3,2,6748.0
11,1,65,1,1,6,1,1,0,54,2,3,9095.0
12,1,56,1,1,0,2,3,0,36,6,0,11751.0
13,1,35,1,3,2,3,2,0,30,1,3,8547.0
14,1,57,0,2,2,1,4,0,48,2,2,2436.0
15,1,44,1,4,6,3,3,0,37,1,2,4234.0
16,1,48,1,4,4,2,3,0,36,2,3,30367.0
17,1,41,1,3,6,1,3,0,34,4,1,13535.0
18,1,61,1,1,3,1,1,0,56,2,3,3193.0
19,1,45,0,2,2,1,5,0,37,1,2,14470.0
20,1,47,1,1,1,0,2,0,42,2,0,20979.0
21,0,62,0,0,2,1,4,0,49,3,3,1438.3
22,1,41,1,3,3,1,1,0,33,2,1,4470.0
23,1,47,0,4,6,2,4,0,36,3,2,2492.0
24,1,54,1,2,6,1,3,0,42,2,3,12217.0
25,1,41,0,3,2,2,4,0,28,1,2,7768.0
26,1,59,1,1,3,3,1,0,46,1,2,14784.0
27,1,63,1,1,6,1,2,0,56,3,2,10215.0
28,1,44,0,3,5,2,5,0,34,2,2,10100.0
29,1,47,1,4,3,1,1,0,42,0,0,4785.0
30,1,53,1,3,6,1,3,0,33,2,3,2753.0
31,1,53,1,2,5,1,2,0,48,5,1,2451.0
32,1,41,1,4,2,1,2,0,36,1,2,8923.0
33,1,53,0,2,0,1,4,0,38,2,3,2650.0
34,1,58,1,0,2,1,3,0,49,2,2,12555.0
35,1,55,0,1,0,2,4,0,36,2,1,3520.0
36,1,55,0,3,2,1,4,0,36,2,3,3035.0
37,1,42,0,4,3,1,4,1,36,3,3,15433.0
38,1,57,0,1,2,3,1,0,49,3,2,3672.0
39,0,66,0,0,1,1,5,0,56,4,3,7882.0
40,1,45,1,3,2,2,3,0,41,2,2,32426.0
41,1,51,1,2,6,1,1,0,44,1,0,6205.0
42,1,50,0,1,0,2,1,3,43,2,3,17304.0
43,1,49,1,3,3,1,2,0,37,2,1,3906.0
44,1,38,0,4,2,2,5,0,28,3,3,9830.0
45,1,49,1,4,5,2,3,0,30,2,3,34516.0
46,1,56,1,2,1,1,2,0,45,2,0,2283.0
47,1,59,1,1,1,1,1,0,52,2,2,2548.0
48,1,46,1,3,3,1,3,0,40,3,3,19458.0
49,1,52,1,1,0,2,3,0,40,1,1,4745.0
50,1,52,0,3,6,1,4,0,41,3,2,2622.0
51,0,54,0,1,2,1,4,0,40,3,1,1438.3
52,1,66,0,0,3,1,4,0,54,4,2,3171.0
53,1,49,1,2,6,1,0,0,36,2,0,19763.0
54,0,56,1,2,2,1,0,0,36,3,3,15769.0
55,1,49,0,4,2,3,4,0,36,4,2,3298.0
56,1,49,0,3,2,2,4,0,36,2,0,2802.0
57,1,56,1,2,5,1,1,0,50,2,3,4458.0
58,1,44,0,5,2,1,5,0,35,1,2,6273.0
59,1,42,1,2,3,2,2,0,34,4,3,3336.0
60,1,55,1,3,6,1,3,0,47,2,3,3436.0
61,0,48,1,2,2,1,2,3,35,4,4,34516.0
62,1,39,1,1,3,0,2,0,33,3,3,5926.0
63,1,44,1,4,4,2,0,0,32,4,2,23957.0
64,1,53,1,2,3,2,0,0,44,2,2,14734.0
65,1,51,1,4,5,2,3,3,38,1,4,34516.0
66,1,57,1,2,0,1,2,0,52,3,3,6584.0
67,1,44,0,2,5,2,4,0,20,3,3,2084.0
68,1,49,1,2,2,1,2,0,32,2,2,1687.0
69,1,50,1,2,1,1,3,0,38,2,2,25300.0
70,1,51,1,4,2,2,0,0,42,2,3,34516.0
71,1,55,0,2,2,1,4,0,42,3,3,2216.0
72,1,54,1,1,2,3,2,0,43,2,3,2910.0
73,1,42,1,5,5,1,3,0,37,2,2,22913.0
74,1,44,1,1,0,2,2,0,35,3,3,24312.0
75,1,53,1,2,2,2,3,0,36,3,2,5272.0
76,1,44,0,4,2,2,4,0,36,4,2,7000.0
77,1,37,0,3,5,2,4,0,29,4,2,7038.0
78,1,49,1,3,2,0,2,0,30,1,2,2536.0
79,1,47,1,2,2,1,3,0,38,3,2,28904.0
80,1,47,1,3,2,1,2,0,37,4,0,8567.0
81,1,44,1,1,6,3,0,0,36,2,2,34516.0
82,0,55,0,4,6,1,1,0,45,4,3,2158.0
83,1,59,0,1,2,1,5,0,52,3,3,10133.0
84,1,53,1,1,2,0,3,0,35,4,2,34516.0
85,1,52,1,2,2,1,2,0,47,3,0,3085.0
86,1,53,1,2,3,2,0,0,35,2,1,19040.0
87,1,43,0,3,5,2,4,0,35,2,3,4026.0
88,1,44,1,3,3,2,2,0,31,3,1,12756.0
89,1,57,1,2,6,1,0,0,45,3,3,5266.0
90,1,51,0,2,3,2,4,0,36,2,2,9930.0
91,1,49,1,4,3,2,3,0,38,3,0,31302.0
92,1,45,1,1,2,2,1,0,36,4,3,6576.0
93,1,53,1,0,2,2,3,0,42,4,1,2664.0
94,1,45,0,3,6,1,5,0,28,1,2,2535.0
